case_id,court,judge,case_type,year,complexity,legal_domain,outcome,plaintiff_win_probability,description,title,date
,Rajasthan High Court - Jaipur,,,,,,dismissed,,"<b>bail</b> <b>application</b> if there is a substantial change in factual situation between the earlier <b>bail</b> <b>application</b> and the subsequent one, but successive <b>bail</b> <b>application</b> ... that the High Court once rejected the <b>anticipatory</b> <b>bail</b> by a well-reasoned order, allowed second <b>bail</b> <b>application</b> under  Section 438 , Cr.P.C. made ","Suresh Chand And Ors. vs State Of Rajasthan on 14 March, 2001",2001-03-14
,Calcutta High Court (Appellete Side),,,,,,dismissed,,"<b>bail</b> is to apply to the superior Court for regular <b>bail</b> and not once again
for <b>anticipatory</b> <b>bail</b>.
  (b)Accused who prefers an <b>application</b> ... <b>anticipatory</b> <b>bail</b>.
  (e) If the <b>application</b> for regular <b>bail</b> is moved after or the date as on which
the <b>application</b> for regular <b>bail</b> is rejected ","Sri Sudip Sen vs The State Of West Bengal on 16 September, 2010",2010-09-16
,Calcutta High Court,,,,,,dismissed,,"prayer for regular <b>bail</b> a person would again pray for <b>anticipatory</b> <b>bail</b> during the subsistence of the earlier order of <b>anticipatory</b> <b>bail</b>. This ... <b>anticipatory</b> <b>bail</b> (outer limit prescribed by the order of <b>anticipatory</b> <b>bail</b>) to move the higher Court. Where, however, the regular <b>bail</b> <b>application</b> is rejected ","Maya Rani Guin And Etc. vs State Of West Bengal on 30 July, 2002",2002-07-30
,Gujarat High Court,,,,,,allowed,,second successive <b>anticipatory</b> <b>bail</b> <b>application</b>. Said <b>application</b> was finally disposed of on 16-7-2004 whereby <b>anticipatory</b> <b>bail</b> was granted in favour of the respondent ... granted <b>anticipatory</b> <b>bail</b> for a period of 90 days. It is required to be noted that the first successive <b>anticipatory</b> <b>bail</b> <b>application</b> in the court ,"State Of Gujarat vs Kanaksinh Mohansinh Mangrola on 11 October, 2004",2004-10-11
,Allahabad High Court,,,,,,allowed,,"rule that <b>anticipatory</b> <b>bail</b> cannot be granted unless the proposed accusation appears to be actuated by mala fides; and equally, that <b>anticipatory</b> <b>bail</b> must ... should be granted <b>anticipatory</b> <b>bail</b>. The first and foremost thing that the court hearing an <b>anticipatory</b> <b>bail</b> <b>application</b> should consider is the prima facie case ","Vinod Bihari Lal vs State Of U.P. And Another on 28 February, 2023",2023-02-28
,Allahabad High Court,,,,,,dismissed,,"granted <b>anticipatory</b> <b>bail</b>/interim <b>anticipatory</b> <b>bail</b>. It is argued that as such the applicant is also entitled to be released on <b>anticipatory</b> <b>bail</b> ... been granted <b>anticipatory</b> <b>bail</b>/interim <b>anticipatory</b> <b>bail</b>, the same are not binding on this Court. While rejecting the first <b>anticipatory</b> <b>bail</b> <b>application</b>, the Court ","Hemant Kumar @ Hemant Kumar Saraswat vs State Of U.P. And Another on 21 December, 2021",2021-12-21
,Allahabad High Court,,,,,,dismissed,,"date of filing <b>anticipatory</b> <b>bail</b>, therefore, to me such bar could not restrain the present applicant to file his <b>anticipatory</b> <b>bail</b> <b>application</b> before this Court ... vehemently opposed the prayer of <b>anticipatory</b> <b>bail</b> and have submitted that just after rejection of <b>anticipatory</b> <b>bail</b> <b>application</b> by the learned sessions court the applicant ","Suresh Babu vs State Of U.P. And Another on 16 July, 2022",2022-07-16
,Allahabad High Court,,,,,,dismissed,,"<b>anticipatory</b> <b>bail</b> on the ground that proceedings under  Section 82  Cr.P.C. were initiated subsequent to the filing of the <b>anticipatory</b> <b>bail</b> <b>application</b> ... been completed, then he is not entitled for <b>anticipatory</b> <b>bail</b>, as such the present <b>anticipatory</b> <b>bail</b> <b>application</b> is liable to be rejected.  
  
 12.	Learned ","Udit Arya vs State Of U.P. on 3 May, 2023",2023-05-03
,Delhi High Court,,,,,,dismissed,,"petitioners made a 3rd attempt for grant of

       <b>anticipatory</b>       <b>bail</b>   by   filing   <b>bail</b>   <b>application</b>    bearing

       No.1964/2010 which was dismissed as withdrawn while

       reserving ... VIth <b>Application</b>


 <b>Bail</b> Appl. No.1135/2011                                       Page 13 of 21 
    10.    After    withdrawal   of the   so   called misleading first     <b>bail</b>

       <b>application</b> another <b>anticipatory</b> <b>bail</b> ","Harish Kathuria & Anr. vs State on 18 August, 2011",2011-08-18
,Delhi District Court,,,,,,dismissed,,"whether he had filed any case

       under  Section <b>138</b>  <b>NI</b> <b>Act</b> for <b>cheque</b> <b>bouncing</b>. He denied the suggestion

       that the accused Deepak Arora ... submitted that the complainant has not filed any case

       under  Section <b>138</b>  <b>NI</b> <b>Act</b>. Further no recovery of the books or the alleged

       sale amount ","Duty"" (Lake vs Simmons 1972 Ac 487). In Order That Money ... on 21 August, 2013",2013-08-21
,Rajasthan High Court - Jaipur,,,,,,dismissed,,"Chatar Lal vs <b>Motor</b> <b>Accident</b> <b>Claims</b> <b>Tribunal</b> on 5 December, 1996 

 Equivalent citations: 1997(1)WLC560, 1996(2)WLN322 

 Author:  R.R. Yadav  

 Bench ... Heard.
  

 2. Perused the order impugned dated 3.10.1996 passed by <b>Motor</b> <b>Accident</b> <b>Claims</b> <b>Tribunal</b>, Rajsamand rejecting the application of the petitioner for leave to withdraw ","Chatar Lal vs <b>Motor</b> <b>Accident</b> <b>Claims</b> <b>Tribunal</b> on 5 December, 1996",1996-12-05
,Bombay High Court,,,,,,dismissed,,"petitioner is seeking to challenge the order passed by the <b>Motor</b> <b>Accident</b> <b>Claims</b> <b>Tribunal</b>, Buldana on 14-3-1995 rejecting the application filed ... petitioner prayed for time to study the matter whether the <b>Motor</b> <b>Accident</b> <b>Claims</b> <b>Tribunal</b> is a &#x27;Court subordinate&#x27; under  section ","Gurucharansing Hardayalsing Sethi vs Narhari Laxman Shinde And Ors. on 19 January, 1996",1996-01-19
,Rajasthan High Court - Jaipur,,,,,,dismissed,,"respondent 1), reduced the quantum of compensation awarded by the <b>Motor</b> <b>Accident</b> <b>Claims</b> <b>Tribunal</b>, Jodhpur in each case and also dismissed the cross objections filed ... petitions before the <b>Motor</b> <b>Accident</b> <b>Claims</b> <b>Tribunal</b>, Jodhpur (for short &#x27;the <b>Claims</b> <b>Tribunal</b>&#x27;) under the provisions of the  <b>Motor</b> Vehicles Act, 1939  against ","Smt. Jaya Ben And 4 Ors. vs Gaffar Khan And Ors. on 5 July, 2000",2000-07-05
,Bangalore District Court,,,,,,dismissed,,"<b>Arbitration</b> &amp; Conciliation Act. Thus, the

<b>challenge</b> by the Petitioner calling for the setting aside of

arbitral <b>award</b> on this ground is rejected ... evidence fully participated in the <b>arbitration</b>

proceedings     without   any    objection   in   the   <b>arbitration</b>

proceedings, now he raised objection <b>challenged</b> the plaintiff

is   estopped   from   raising ","H L Nagaraja vs M/S Siddhshekha Developers Llp, Rep. By ... on 21 September, 2024",2024-09-21
,Bangalore District Court,,,,,,allowed,,"setting

aside the <b>arbitration</b> <b>award</b>.
 
      12. According to the  Section 34(2)  of the <b>Arbitration</b>

&amp; Conciliation Act, an <b>arbitration</b> <b>award</b> can be set aside ... case of

plaintiff that the <b>arbitration</b> agreement which resulted in

<b>arbitration</b> <b>award</b> under <b>challenge</b> is invalid agreement

under law. Hence, there is no need ","M/S Hindustan Aeronautics Limited vs United Helicharters Pvt. Ltd on 20 February, 2020",2020-02-20
,Supreme Court of India,,,,,,partly_allowed,,"<b>challenges</b>  the	same
decision of  the Chairman,  IFCI which	is <b>challenged</b> in the
<b>arbitration</b> petition as an <b>award</b>.
       The learned Single Judge has compared ... existence effect or validity of an
<b>arbitration</b> agreement  or <b>award</b>,  nor shall  any <b>arbitration</b>
agreement or  <b>award</b> b  e set  aside, amended, modified ","K.K. Modi vs K.N. Modi & Ors on 4 February, 1998",1998-02-04
,Supreme Court of India,,,,,,dismissed,,"<b>arbitration</b>  in
terms of the <b>arbitration</b> clause in the agreement between the
parties.   There  being however, no dispute, as regards	 the
<b>arbitration</b> clause, we deem ... account of  interest
was  rejected.	 It  is	 this	Arbitral  <b>award</b>	 which	 was
<b>challenged</b>  before  High Court and the learned Single  Judge
found  that ","M/S. Arosan Enterprises Ltd vs Union Of India & Anr on 16 September, 1999",1999-09-16
,Allahabad High Court,,,,,,allowed,,"relief of <b>specific</b> <b>performance</b> can be granted in favour of the petitioners. Mere pendency of suits for <b>specific</b> <b>performance</b> of <b>agreements</b> to sell will ... decree in a suit for <b>specific</b> <b>performance</b>. The damages can be awarded in a suit for <b>specific</b> <b>performance</b> only in case, the plaintiff succeeds ","Hamid And 9 Others vs Kailash And 13 Others on 15 September, 2025",2025-09-15
,Andhra Pradesh High Court - Amravati,,,,,,dismissed,,"available. In these circumstances, the plaintiffs filed a

suit for <b>specific</b> <b>performance</b> of <b>agreement</b> of sale.


  5.    The defendants filed a written statement by denying ... therefore, the plaintiffs are not

entitled to the relief of <b>specific</b> <b>performance</b> of <b>agreement</b> of sale and the

suit is liable to be dismissed ","Smt.S.Rahmath Bi And 11 Others vs Unnam Pullamma Died on 19 June, 2024",2024-06-19
,Supreme Court of India,,,,,,allowed,,"Court with unclean  hands,  the  discretionary
relief of grant of <b>specific</b> <b>performance</b> of <b>agreement</b> ought not to have  been
granted to such plaintiff and instead ... favour of the plaintiff by passing a decree  for  <b>specific</b>
<b>performance</b> of <b>agreement</b> against the defendant.
  44)   In our view, none of these findings could ","A.Kanthamani vs Nasreen Ahmed on 6 March, 2017",2017-03-06
,Supreme Court of India,,,,,,allowed,,"suit for <b>specific</b> <b>performance</b> was allowed, in part, holding that

the Vendee, was not entitled to seek <b>specific</b> <b>performance</b> of the

<b>agreement</b> in respect ... provides:
 
             10. <b>Specific</b> <b>performance</b> in respect of contracts.-
              The <b>Specific</b> <b>performance</b> of a contract shall be enforced
            by the court subject to the provisions contained ","B.Santoshamma. vs D.Sarala. on 18 September, 2020",2020-09-18
,Andhra HC (Pre-Telangana),,,,,,allowed,,"<b>specific</b> <b>performance</b> can be granted and discussed what are the
requirements to grant decree of <b>specific</b> <b>performance</b> and held that
plaintiff to seek <b>specific</b> <b>performance</b> ... made out, <b>specific</b> <b>performance</b> could be enforced as
provided in the Act even in the absence of a <b>specific</b> term for
<b>specific</b> <b>performance</b> ","R.Suresh Babu vs G.Rajalingam And 2 Others on 30 November, 2016",2016-11-30
,Delhi High Court,,,,,,allowed,,"respondent, was illegal
                          and for a decree of <b>specific</b> <b>performance</b> of the <b>agreement</b>, along with
                          injunction. The learned Trial Court decreed the suit as sought ... <b>agreement</b> was in its nature
                          determinable, a decree for <b>specific</b> <b>performance</b> of the <b>agreement</b>
                          could not be issued, in view of  Section ","Abp Network Private Limited vs Malika Malhotra on 12 October, 2021",2021-10-12
,Bombay High Court,,,,,,allowed,,"<b>performance</b> of the <b>agreement</b> of sale incorporated in Clause 17 to 21 thereof. He held that the document incorporated three distinct <b>agreements</b>: (i) an <b>agreement</b> ... persons claiming under; him to obtain <b>specific</b> <b>performance</b> of the <b>agreement</b>. If <b>specific</b> <b>performance</b> be granted by the Court, the right may crystallise into ","Shree Ambarnath Mills Corporation vs D.B. Godbole And Anr. on 14 January, 1957",1957-01-14
,Madras High Court,,,,,,allowed,,rites and that the <b>minor</b> <b>child</b> is Hindu by birth. If the <b>minor</b> <b>child</b> is allowed to be in the <b>custody</b> of the respondents that ... <b>minor</b> <b>child</b>. The <b>minor</b> <b>child</b> expressed her willingness to be with the respondents herein. The welfare of the <b>minor</b> <b>child</b> is of paramount consideration. Considering ,"Krishna Raj vs Rajasekar And Anr. on 24 January, 1997",1997-01-24
,Madras High Court,,,,,,allowed,,"rites and that the <b>minor</b> <b>child</b> is Hindu by birth. If the <b>minor</b> <b>child</b> is allowed to be in the <b>custody</b> of the respondents, that ... <b>minor</b> <b>child</b>. The <b>minor</b> <b>child</b> expressed her willingness to be with the respondents herein. The welfare of the <b>minor</b> <b>child</b> is of paramount consideration. Considering ","Krishma Raj vs Rajasekar And Anr. on 24 January, 1997",1997-01-24
,Andhra HC (Pre-Telangana),,,,,,dismissed,,"right to claim the <b>custody</b> of the <b>minor</b> <b>child</b> without reference to the welfare of the <b>minor</b> <b>child</b> must, therefore, be rejected,  
 

   12. Normally, there ... <b>child</b>. The learned District Judge held that considering the welfare of the <b>minor</b> <b>child</b> the <b>child</b> should be continued to be in the <b>custody</b> ","L. Chandran vs Venkatalakshmi And Anr. on 5 September, 1980",1980-09-05
,State Consumer Disputes Redressal Commission,,,,,,allowed,,"fuEu fu/kkZfjr fd;k gS %&amp;
                     <b>Medical</b> <b>Negligence</b> -- Sought <b>compensation</b>--Allowed -
                     Validity--Held--Since O.P. had tried to hush up the matter ... Consumer Protection -Service--<b>Medical</b>
                    Practitioners/ services -- <b>Medical</b> <b>negligence</b> - Expert opinion
                    of prima facie <b>negligence</b>, if a precondition for Consumer
                    Forum to proceed with a case ","Vivek Soni S/O Dayanand Soni vs Bhandari Healthcare Pvt. Ltd. Through ... on 25 March, 2019",2019-03-25
